,Ending Station ID,Starting Station ID,Duration,Duration_min,Distance,Price
1457,26,51,759.0,12.65,1.5509348050300482,1.75
1458,26,52,1644.7058823529412,27.41176470588235,2.0243852944969127,1.75
1459,26,53,1725.0,28.75,1.7103333901082087,1.75
1463,26,57,1452.0,24.2,1.4221553838029029,1.75
1465,26,60,1080.0,18.0,1.854761533980916,1.75
1470,27,2,1314.0,21.9,2.431430042359817,1.75
1472,27,4,1050.0,17.5,1.9265854822332584,1.75
1474,27,7,1060.0,17.666666666666668,1.9509794254153816,1.75
1481,27,14,855.0,14.25,2.6550280880855235,1.75
1482,27,16,1968.0,32.8,3.0085985182782133,3.5
1483,27,17,1710.0,28.5,1.9617854291345398,1.75
1484,27,18,930.0,15.5,2.587880400838409,1.75
1485,27,19,798.0,13.3,1.8396512249121493,1.75
1486,27,20,2990.769230769231,49.84615384615385,1.9437291020050482,3.5
1493,27,28,1082.4,18.04,1.8140081306200084,1.75
1494,27,29,1320.0,22.0,3.3831205864566885,1.75
1497,27,32,1080.0,18.0,2.2320033411646807,1.75
1498,27,33,1740.0,29.0,2.8938567175483825,1.75
1500,27,35,1320.0,22.0,2.8187483861147733,1.75
1501,27,36,1608.0,26.8,2.080194317974025,1.75
1502,27,37,990.0,16.5,3.1327059248094327,1.75
1503,27,39,1308.0,21.8,0.6033588040739015,1.75
1504,27,40,685.0,11.416666666666666,1.8827349249616647,1.75
1508,27,46,1272.6315789473683,21.210526315789473,1.5885116239056811,1.75
1512,27,50,1546.6666666666667,25.77777777777778,2.8140949000955713,1.75
1513,27,51,2376.0,39.6,1.8411077235626767,3.5
1514,27,52,1146.0,19.1,2.400494959952389,1.75
1515,27,53,1221.8181818181818,20.363636363636363,2.086025144898301,1.75
1519,27,57,925.2631578947369,15.421052631578947,1.6003409542345928,1.75
1695,31,2,2280.0,38.0,2.1477102100883685,3.5
1697,31,4,1620.0,27.0,0.8447582501166027,1.75
1700,31,7,1410.0,23.5,2.67430598894974,1.75
1705,31,14,1320.0,22.0,2.914389458858728,1.75
1707,31,20,2700.0,45.0,2.5200625545600857,3.5
1715,31,28,1950.0,32.5,1.9079044603521005,3.5
1716,31,29,1920.0,32.0,2.5656281826832066,3.5
1717,31,33,1090.909090909091,18.181818181818183,1.3687753999758632,1.75
1718,31,36,7320.0,122.0,1.6678417553129237,8.75
1719,31,39,1170.0,19.5,1.9416689890724104,1.75
1720,31,40,1800.0,30.0,1.5799596126706064,3.5
1724,31,44,1980.0,33.0,0.9203720451358137,3.5
1726,31,46,1420.0,23.666666666666668,2.1713810732280443,1.75
1729,31,51,900.0,15.0,1.7063776418868004,1.75
1733,31,57,880.0,14.666666666666666,1.2309084064728355,1.75
1735,31,60,970.9090909090909,16.181818181818183,0.5804827866083438,1.75
1847,34,2,932.1428571428571,15.535714285714286,1.7805232269235136,1.75
1851,34,7,733.3333333333334,12.222222222222221,1.202847536906377,1.75
1857,34,14,1234.2857142857142,20.571428571428573,1.913455898830938,1.75
